INFO: setting server port as: 80
INFO: Waiting for incoming connection...
R115:13049.234305,0.049958,13049.524732,13049.574692
R116:13049.523148,0.156816,13049.574730,13049.731547
R117:13049.564199,0.000269,13049.731586,13049.731856
R118:13049.621242,0.076041,13049.731875,13049.807917
R119:13049.663565,0.022202,13049.807969,13049.830183
R120:13049.842709,0.054968,13049.842876,13049.897844
R121:13049.955337,0.030314,13049.955488,13049.985803
R122:13050.021170,0.016797,13050.021322,13050.038120
R123:13050.145739,0.003476,13050.145893,13050.149370
R124:13050.243040,0.099222,13050.243212,13050.342435
R125:13050.296558,0.084593,13050.342470,13050.427067
R126:13050.408653,0.017008,13050.427120,13050.444129
R127:13050.451328,0.082216,13050.451505,13050.533723
R128:13050.545332,0.033171,13050.545505,13050.578676
R129:13050.676599,0.018826,13050.676738,13050.695565
R130:13050.811553,0.096200,13050.811734,13050.907935
R131:13051.065352,0.024784,13051.065484,13051.090269
R132:13051.171321,0.007643,13051.171500,13051.179145
R133:13051.247428,0.174891,13051.247605,13051.422497
R134:13051.277681,0.008202,13051.422537,13051.430740
R135:13051.393571,0.037399,13051.430761,13051.468161
R136:13051.405409,0.074955,13051.468207,13051.543163
R137:13051.491399,0.028397,13051.543211,13051.571609
R138:13051.601264,0.028350,13051.601439,13051.629791
R139:13051.750861,0.017534,13051.751014,13051.768549
R140:13051.790918,0.000298,13051.791054,13051.791352
R141:13052.206793,0.033557,13052.206964,13052.240522
R142:13052.382542,0.047798,13052.382715,13052.430514
R143:13052.403468,0.209370,13052.430561,13052.639932
R144:13052.722018,0.100074,13052.722222,13052.822297
R145:13052.866929,0.096473,13052.867070,13052.963544
R146:13052.880449,0.124035,13052.963582,13053.087618
R147:13052.928900,0.206682,13053.087683,13053.294367
R148:13053.215499,0.018965,13053.294429,13053.313395
R149:13053.413547,0.066180,13053.413693,13053.479874
R150:13053.571458,0.196097,13053.571636,13053.767734
R151:13053.606843,0.172608,13053.767803,13053.940412
R152:13053.847343,0.071541,13053.940446,13054.011987
R153:13053.916337,0.026673,13054.012020,13054.038694
R154:13053.934146,0.056504,13054.038727,13054.095233
R155:13054.134123,0.157507,13054.134280,13054.291788
R156:13054.196552,0.028664,13054.292508,13054.321185
R157:13054.265125,0.096048,13054.321212,13054.417260
R158:13054.285102,0.012477,13054.417298,13054.429776
R159:13054.415200,0.056508,13054.429833,13054.486343
R160:13054.507647,0.107355,13054.507796,13054.615152
R161:13054.689827,0.020915,13054.689998,13054.710914
R162:13054.709518,0.010772,13054.710945,13054.721717
R163:13054.778561,0.037248,13054.778687,13054.815937
R164:13054.793503,0.223892,13054.815995,13055.039889
R165:13054.832795,0.081092,13055.039944,13055.121037
R166:13055.071942,0.142037,13055.121096,13055.263155
R167:13055.253281,0.033993,13055.263210,13055.297254
R168:13055.321887,0.089614,13055.322205,13055.411820
R169:13055.372138,0.024968,13055.411872,13055.436842
R170:13055.466056,0.006275,13055.466224,13055.472500
R171:13055.482566,0.086822,13055.482752,13055.569575
R172:13055.494063,0.028337,13055.569628,13055.597967
R173:13055.539274,0.007964,13055.598027,13055.606014
R174:13055.579629,0.227135,13055.606129,13055.833265
R175:13055.635417,0.025709,13055.833310,13055.859103
R176:13055.723151,0.119545,13055.859178,13055.978725
R177:13055.830706,0.014259,13055.978776,13055.993036
R178:13055.899989,0.081883,13055.993064,13056.074948
R179:13056.114640,0.019416,13056.114787,13056.134204
R180:13056.187657,0.046289,13056.187863,13056.234153
R181:13056.269299,0.041793,13056.269436,13056.311229
R182:13056.446538,0.032878,13056.446693,13056.479573
R183:13056.474637,0.084826,13056.479605,13056.564432
R184:13056.605369,0.034404,13056.605522,13056.639927
R185:13057.024373,0.012189,13057.024552,13057.036741
R186:13057.252297,0.000451,13057.252465,13057.252917
R187:13057.305263,0.124077,13057.305402,13057.429480
R188:13057.458274,0.010149,13057.458440,13057.468590
R189:13057.493119,0.106380,13057.493265,13057.599646
R190:13057.693838,0.049684,13057.694010,13057.743694
R191:13057.698952,0.102557,13057.743739,13057.846297
R192:13058.129239,0.053521,13058.129415,13058.182937
R193:13058.153006,0.008218,13058.182991,13058.191211
R194:13058.353439,0.040226,13058.353578,13058.393804
R195:13058.364006,0.089197,13058.393860,13058.483075
R196:13058.399942,0.011768,13058.483122,13058.494891
R197:13058.565555,0.004575,13058.565744,13058.570329
R198:13058.570919,0.126506,13058.571054,13058.697562
R199:13058.632190,0.048700,13058.697610,13058.746311
R200:13058.750023,0.074226,13058.750174,13058.824401
R201:13058.762775,0.062900,13058.824450,13058.887351
R202:13058.849242,0.037440,13058.887400,13058.924841
R203:13058.939681,0.182977,13058.939825,13059.122803
R204:13058.976047,0.015509,13059.122877,13059.138387
R205:13059.040801,0.062167,13059.138417,13059.200585
R206:13059.134922,0.075568,13059.200632,13059.276202
R207:13059.231434,0.147569,13059.276235,13059.423804
R208:13059.258084,0.008672,13059.423850,13059.432523
R209:13059.265364,0.015492,13059.432553,13059.448046
R210:13059.522717,0.021293,13059.522870,13059.544164
R211:13059.588503,0.028638,13059.588648,13059.617287
R212:13059.763873,0.175501,13059.764039,13059.939541
